"","x"
"179",1.07
"180",1.09
"181",1.05
"182",1.15
"183",1.04
"184",1.06
"185",0.99
"186",1.12
"187",0.97
"188",1.03
"189",0.96
"190",1.06
"191",1
"192",0.96
"193",0.99
"194",1.19
"195",1.09
"196",0.98
"197",1.17
"198",1
"199",1.14
"200",1.06
"201",0.99
"202",1.14
"203",1.07
"204",0.91
"205",1.03
"206",1.08
"207",1.18
"208",1.01
"209",1.13
"210",1.07
"211",1.01
"212",1.02
"213",1.19
"214",1.07
"215",1.05
"216",1.04
"217",1.06
"218",1.02
"219",0.94
"220",1.14
"221",1.07
"222",1.07
"223",1.15
"224",1.03
"225",1.11
"226",1.13
"227",1.07
"228",1.15
"229",1.07
"230",1.17
"231",1.28
"232",1.18
"233",1.14
"234",1.27
"235",1.25
"236",1.24
"237",1.08
"238",1.25
"239",1.26
"240",1.14
"241",1.26
"242",1.14
"243",1.17
"244",1.28
"245",1.15
"246",1.26
"247",1.27
"248",1.19
"249",1.18
"250",1.25
"251",1.17
"252",1.11
"253",1.23
"254",1.2
"255",1.04
"256",1.22
"257",1.17
"258",1.23
"259",1.1
"260",1.02
"261",1.35
"262",1.37
"263",1.35
"264",1.23
"265",1.39
"266",1.4
"267",1.36
"268",1.3
"269",1.23
"270",1.36
"271",1.29
"272",1.3
"273",1.33
"274",1.31
"275",1.54
"276",1.59
"277",1.56
"278",1.38
"279",1.49
"280",1.5
"281",1.47
"282",1.47
"283",1.39
"284",1.36
"285",1.45
"286",1.47
"287",1.36
"288",1.5
"289",1.34
"290",1.38
"291",1.4
"292",1.43
"293",1.35
"294",1.33
"295",1.42
"296",1.41
"297",1.42
"298",1.42
"299",1.44
"300",1.39
"301",1.4
"302",1.47
"303",1.35
"304",1.43
"305",1.41
"306",1.44
"307",1.36
"308",1.33
"309",1.5
"310",1.52
"311",1.54
"312",1.4
"313",0.9
"314",0.94
"315",0.87
"316",0.78
"317",0.91
"318",0.92
"319",0.83
"320",0.98
"321",0.95
"322",1.12
"323",1.07
"324",1.08
"325",1.02
"326",1.04
"327",1.14
"328",1.13
"329",1.09
"330",1.08
"331",1.18
"332",1.11
"333",1.1
"334",1.16
"335",1.13
"336",1.18
"337",1.13
"338",1.12
"339",1.1
"340",1.07
"341",0.97
"342",0.98
"343",0.98
"344",1.1
"345",1.08
"346",0.93
"347",0.88
"348",1.15
"349",1.05
"350",1.06
"351",1.12
"352",1.1
"353",1.06
"354",1.06
"355",0.96
"356",0.84
"357",0.96
"358",0.96
"359",0.91
"360",0.85
"361",1.06
"362",1.02
"363",0.92
"364",0.93
"365",0.96
"366",0.98
"367",0.95
"368",0.99
"369",0.95
"370",1
"371",1.01
"372",1.03
"373",1.11
"374",1.27
"375",1.26
"376",1.14
"377",1.22
"378",1.09
"379",1.2
"380",1.19
"381",1.01
"382",1.2
"383",1.15
"384",1.24
"385",1.21
"386",1.24
"387",1.23
"388",1.19
"389",1.18
"390",1.18
"391",1.17
"392",1.17
"393",1.15
"394",1.15
"395",1.19
"396",1.2
"397",1.21
"398",1.19
"399",1
"400",1.2
"401",1.18
"402",1.17
"403",1.19
"404",1.23
"405",1.19
"406",1.19
"407",1.25
"408",1.18
"409",1.08
"410",1.22
"411",1.17
"412",0.98
"413",1.18
"414",1.25
"415",1.26
"416",1.19
"417",0.93
"418",0.91
"419",1.07
"420",1.14
"421",1.11
"422",0.94
"423",1.17
"424",1.01
"425",1
"426",1.12
"427",1.15
"428",1.08
"429",1.18
"430",1.15
"431",1.19
"432",1.19
"433",1.11
"434",1.12
"435",1.2
"436",1.16
"437",1.25
"438",1.27
"439",1.12
"440",1.24
"441",1.26
"442",1.24
"443",1.21
"444",1.24
"445",1.21
"446",1.24
"447",1.26
"448",1.23
"449",1.23
"450",1.23
"451",1.04
"452",1.24
"453",1.24
"454",1.24
"455",1.27
"456",1.22
"457",1.21
"458",1.09
"459",1.18
"460",1.09
"461",1.18
"462",1.17
"463",1.13
"464",0.91
"465",1.22
"466",1.14
"467",1.15
"468",1.11
"469",0.87
"470",0.85
"471",0.79
"472",0.83
"473",0.88
"474",0.89
"475",0.88
"476",0.87
"477",0.93
"478",1.01
"479",0.98
"480",0.91
"481",0.93
"482",1.08
"483",1.05
"484",1.05
"485",1.02
"486",1.01
"487",1.05
"488",1.01
"489",1.08
"490",1.09
"491",1.03
"492",1.06
"493",1.03
"494",1.03
"495",1.01
"496",1.02
"497",1.05
"498",1.07
"499",1.06
"500",1.1
"501",1.04
"502",1.06
"503",1.08
"504",1.06
"505",1.02
"506",1.02
"507",1.06
"508",0.95
"509",0.98
"510",0.94
"511",0.87
"512",0.89
"513",0.93
"514",0.94
"515",0.93
"516",0.86
"517",0.93
"518",0.93
"519",0.92
"520",0.88
"521",0.99
"522",1.03
"523",1.03
"524",0.99
"525",1.03
"526",1.04
"527",0.99
"528",0.95
"529",0.99
"530",1.04
"531",0.98
"532",0.9
"533",0.93
"534",1.02
"535",1
"536",1.02
"537",1.04
"538",1.03
"539",1.08
"540",1.03
"541",1
"542",1.05
"543",1.02
"544",1.05
"545",1.04
"546",0.98
"547",0.94
"548",0.99
"549",1.01
"550",1.03
"551",1.1
"552",1.01
"553",1
"554",1.1
"555",0.99
"556",1.02
"557",1
"558",1.07
"559",1.09
"560",0.96
"561",0.94
"562",1.01
"563",0.95
"564",1.03
"565",1.09
"566",1.05
"567",0.96
"568",0.87
"569",1.08
"570",1.02
"571",0.97
"572",0.89
"573",0.8
"574",0.82
"575",0.79
"576",0.74
"577",0.8
"578",0.78
"579",0.71
"580",0.8
"581",0.78
"582",0.86
"583",0.83
"584",0.81
"585",0.82
"586",0.84
"587",0.77
"588",0.86
"589",0.84
"590",0.82
"591",0.85
"592",0.88
"593",0.85
"594",0.87
"595",0.8
"596",0.82
"597",0.82
"598",0.83
"599",0.77
"600",0.75
"601",0.65
"602",0.73
"603",0.68
"604",0.81
"605",0.73
"606",0.75
"607",0.77
"608",0.81
"609",0.8
"610",0.72
"611",0.77
"612",0.79
"613",0.67
"614",0.72
"615",0.75
"616",0.82
"617",0.8
"618",0.77
"619",0.67
"620",0.68
"621",0.8
"622",0.76
"623",0.76
"624",0.74
"625",0.98
"626",1.05
"627",0.83
"628",0.76
"629",1.12
"630",0.85
"631",0.82
"632",0.93
"633",0.82
"634",0.93
"635",0.87
"636",0.9
"637",1.02
"638",0.97
"639",0.98
"640",1.01
"641",1.09
"642",1.14
"643",1.2
"644",1.17
"645",1.09
"646",1.05
"647",1.18
"648",1.1
"649",1.18
"650",1.19
"651",1.2
"652",1.16
"653",1.16
"654",1.11
"655",1.26
"656",1.16
"657",1.21
"658",1.08
"659",1.01
"660",1.19
"661",1.08
"662",1.05
"663",1.19
"664",1.11
"665",1.15
"666",1.03
"667",1.03
"668",1.03
"669",1
"670",1.12
"671",0.95
"672",0.93
"673",1.02
"674",0.99
"675",1.09
"676",0.99
"677",1.08
"678",1.1
"679",1.05
"680",0.98
"681",1.11
"682",1.09
"683",1.1
"684",1.03
"685",1.04
"686",1.17
"687",0.97
"688",0.99
"689",1.1
"690",1.17
"691",1
"692",1.03
"693",1.09
"694",0.96
"695",1.11
"696",0.97
"697",1.07
"698",1.04
"699",0.99
"700",1.04
"701",1.02
"702",1.06
"703",1
"704",0.97
"705",1.04
"706",0.97
"707",1.09
"708",1.03
"709",0.95
"710",1.11
"711",1.06
"712",1.01
"713",0.96
"714",1.02
"715",1.11
"716",0.97
"717",0.97
"718",1.13
"719",1.01
"720",0.97
"721",1.15
"722",1.16
"723",1.11
"724",0.92
"725",1.19
"726",1.1
"727",1.08
"728",1.01
"729",1.13
"730",1.13
"731",1.24
"732",0.93
"733",1.12
"734",1.11
"735",1.2
"736",0.93
"737",0.91
"738",1.14
"739",0.94
"740",0.97
"741",0.99
"742",1.15
"743",0.88
"744",0.95
"745",1.09
"746",0.91
"747",1.28
"748",0.89
"749",1.08
"750",1.05
"751",1.12
"752",1.05
"753",1.19
"754",1.16
"755",1.1
"756",0.96
"757",1.07
"758",1.14
"759",1.31
"760",1.3
"761",0.97
"762",1.36
"763",1.06
"764",1.09
"765",0.93
"766",1.13
"767",1.22
"768",1.11
"769",0.91
"770",1.35
"771",1.08
"772",0.95
"773",1.31
"774",1.21
"775",1.24
"776",0.94
"777",1.19
"778",1.07
"779",1.03
"780",0.95
"781",1.01
"782",1.01
"783",1.03
"784",1
"785",1.07
"786",1.03
"787",1.09
"788",0.98
"789",1
"790",1.1
"791",1.03
"792",1.02
"793",1.05
"794",1.1
"795",1.02
"796",1.03
"797",1.07
"798",1.04
"799",1.14
"800",1.03
"801",1.12
"802",1.14
"803",1.1
"804",1.12
"805",1.14
"806",1.13
"807",1.07
"808",1.08
"809",1.12
"810",1.13
"811",1.2
"812",1.15
"813",1.09
"814",1.15
"815",1.05
"816",1.14
"817",1.06
"818",1.11
"819",1.18
"820",1.09
"821",1.04
"822",1.1
"823",1.04
"824",1.02
"825",1.16
"826",1.15
"827",1.07
"828",0.91
"829",1.13
"830",1.08
"831",1.1
"832",1.02
"833",1.16
"834",1.11
"835",1.14
"836",1.1
"837",1.17
"838",1.16
"839",1.09
"840",1.09
"841",1.13
"842",1.11
"843",0.93
"844",1.05
"845",1.16
"846",1.15
"847",1.17
"848",1.07
"849",1.19
"850",1.18
"851",1.1
"852",1.09
"853",1.07
"854",1.1
"855",1.17
"856",1.19
"857",1.17
"858",1.19
"859",1.2
"860",1.19
"861",1.13
"862",1.21
"863",1.22
"864",1.21
"865",1.19
"866",1.19
"867",1.17
"868",1.21
"869",1.17
"870",1.18
"871",1.21
"872",1.14
"873",1.08
"874",1.2
"875",1.15
"876",1.07
"877",1.2
"878",1.22
"879",1.02
"880",1.06
"881",1.17
"882",1.24
"883",1.26
"884",1.05
"885",1.27
"886",1.18
"887",1.24
"888",1.19
"889",1.32
"890",1.27
"891",1.12
"892",1.16
"893",1.16
"894",1.2
"895",0.93
"896",1.38
"897",1.3
"898",1.29
"899",1.25
"900",1.11
"901",1.27
"902",1.26
"903",1.14
"904",1.12
"905",1.12
"906",1.16
"907",1.3
"908",1.32
"909",1.06
"910",1.25
"911",1.27
"912",1.25
"913",1.15
"914",1.29
"915",1.33
"916",1.34
"917",1.2
"918",1.25
"919",1.25
"920",1.36
"921",1.35
"922",1.25
"923",1.33
"924",1.22
"925",1.11
"926",1.4
"927",1.43
"928",1.12
"929",1.38
"930",1.39
"931",1.09
"932",1.32
"933",1.35
"934",1.39
"935",1.38
"936",1.06
"937",0.78
"938",0.75
"939",0.73
"940",0.74
"941",0.79
"942",0.73
"943",0.72
"944",0.75
"945",0.77
"946",0.88
"947",0.9
"948",0.79
"949",0.82
"950",0.86
"951",0.83
"952",0.89
"953",0.89
"954",0.88
"955",0.89
"956",0.92
"957",0.92
"958",0.9
"959",0.79
"960",0.78
"961",0.79
"962",0.79
"963",0.74
"964",0.74
"965",0.62
"966",0.72
"967",0.72
"968",0.83
"969",0.82
"970",0.76
"971",0.74
"972",0.79
"973",0.82
"974",0.79
"975",0.83
"976",0.79
"977",0.8
"978",0.77
"979",0.78
"980",0.87
"981",0.82
"982",0.73
"983",0.7
"984",0.72
"985",0.77
"986",0.77
"987",0.78
"988",0.71
"989",1.04
"990",1.1
"991",1.03
"992",0.92
"993",1.08
"994",1.11
"995",1.08
"996",0.96
"997",1.01
"998",1.02
"999",0.97
"1000",1.1
"1001",0.98
"1002",1.04
"1003",0.91
"1004",0.87
"1005",1.11
"1006",1.17
"1007",1.22
"1008",1.14
"1009",1.2
"1010",1.21
"1011",1.22
"1012",1.07
"1013",1.05
"1014",1.05
"1015",0.95
"1016",1.03
"1017",1.15
"1018",1.28
"1019",1.37
"1020",1.29
"1021",1.26
"1022",1.06
"1023",1.13
"1024",1.24
"1025",1.08
"1026",1.15
"1027",1.17
"1028",1.09
"1029",1.11
"1030",1.21
"1031",1.07
"1032",1.13
"1033",1.34
"1034",1.3
"1035",0.98
"1036",0.92
"1037",1.06
"1038",1.14
"1039",1.25
"1040",1.02
"1041",0.99
"1042",1.19
"1043",0.96
"1044",1.19
"1045",0.96
"1046",0.98
"1047",1.25
"1048",1.25
"1049",0.97
"1050",1.22
"1051",1.25
"1052",0.99
"1053",0.99
"1054",1.27
"1055",0.99
"1056",1.24
"1057",0.98
"1058",1.26
"1059",1.25
"1060",1.25
"1061",0.99
"1062",1.24
"1063",1.25
"1064",1
"1065",1.22
"1066",0.95
"1067",1.16
"1068",0.95
"1069",1.2
"1070",0.98
"1071",1.24
"1072",1
"1073",1.22
"1074",1.24
"1075",0.96
"1076",1.21
"1077",1.17
"1078",0.99
"1079",1.1
"1080",1.2
"1081",0.96
"1082",1.27
"1083",1.24
"1084",1.01
"1085",1.1
"1086",1.24
"1087",1.21
"1088",0.92
"1089",1.2
"1090",1.27
"1091",1.2
"1092",0.97
"1093",0.83
"1094",0.96
"1095",0.95
"1096",0.89
"1097",0.95
"1098",0.98
"1099",0.95
"1100",0.92
"1101",0.99
"1102",0.98
"1103",0.91
"1104",0.94
"1105",0.97
"1106",0.97
"1107",0.97
"1108",0.88
"1109",1.02
"1110",1.09
"1111",1.06
"1112",0.96
"1113",0.96
"1114",1.09
"1115",1.06
"1116",1.03
"1117",1.02
"1118",1.05
"1119",1.01
"1120",0.9
"1121",0.88
"1122",1.02
"1123",1.03
"1124",0.98
"1125",0.95
"1126",0.98
"1127",0.94
"1128",0.88
"1129",0.82
"1130",0.76
"1131",0.81
"1132",0.84
"1133",0.9
"1134",1.07
"1135",1.01
"1136",1.05
"1137",1.16
"1138",1.12
"1139",1.01
"1140",0.94
"1141",1.06
"1142",1.06
"1143",0.93
"1144",0.8
"1145",0.8
"1146",0.85
"1147",0.74
"1148",0.66
"1149",0.83
"1150",0.81
"1151",0.74
"1152",0.84
"1153",0.89
"1154",0.95
"1155",0.89
"1156",0.92
"1157",0.98
"1158",0.9
"1159",0.99
"1160",0.98
"1161",0.92
"1162",0.9
"1163",1.03
"1164",0.93
"1165",0.94
"1166",1
"1167",0.95
"1168",1.02
"1169",1.03
"1170",0.96
"1171",0.94
"1172",0.91
"1173",0.79
"1174",0.84
"1175",0.85
"1176",0.97
"1177",0.98
"1178",0.78
"1179",0.78
"1180",1.02
"1181",0.93
"1182",0.93
"1183",1.01
"1184",1
"1185",1.01
"1186",0.94
"1187",0.86
"1188",0.75
"1189",0.83
"1190",0.83
"1191",0.9
"1192",0.74
"1193",0.96
"1194",0.89
"1195",0.85
"1196",0.85
"1197",1.04
"1198",1.05
"1199",0.91
"1200",0.83
"1201",0.97
"1202",1.01
"1203",1.04
"1204",0.93
"1205",0.89
"1206",1.06
"1207",1.03
"1208",1.03
"1209",1.11
"1210",1.18
"1211",1.05
"1212",0.98
"1213",0.98
"1214",1.13
"1215",1.15
"1216",1.09
"1217",1.08
"1218",0.93
"1219",0.88
"1220",1.08
"1221",1.13
"1222",1.15
"1223",1.15
"1224",1.17
"1225",1.07
"1226",1.01
"1227",1
"1228",1.05
"1229",1.2
"1230",1.1
"1231",1.03
"1232",1.21
"1233",1.01
"1234",0.97
"1235",1.08
"1236",1
"1237",0.99
"1238",1.21
"1239",1.18
"1240",1.02
"1241",1.01
"1242",1.13
"1243",1
"1244",0.9
"1245",1.02
"1246",1.06
"1247",1.05
"1248",0.92
"1249",0.99
"1250",1.21
"1251",0.97
"1252",1.25
"1253",0.98
"1254",0.98
"1255",1.22
"1256",1.22
"1257",0.98
"1258",1.25
"1259",1.24
"1260",1
"1261",0.99
"1262",1.31
"1263",0.98
"1264",1.26
"1265",0.98
"1266",1.24
"1267",1.24
"1268",1.24
"1269",0.97
"1270",1.22
"1271",1.24
"1272",0.96
"1273",1.24
"1274",0.98
"1275",1.21
"1276",0.96
"1277",1.26
"1278",0.99
"1279",1.27
"1280",1.01
"1281",1.24
"1282",1.28
"1283",0.98
"1284",1.25
"1285",1.23
"1286",1
"1287",1.11
"1288",1.25
"1289",0.97
"1290",1.33
"1291",1.3
"1292",1.01
"1293",1.24
"1294",1.29
"1295",1.25
"1296",0.95
"1297",1.27
"1298",1.3
"1299",1.28
"1300",0.97
"1301",1.05
"1302",1.05
"1303",1.03
"1304",1
"1305",1.05
"1306",1.06
"1307",1.02
"1308",1.04
"1309",1.08
"1310",1.13
"1311",1.05
"1312",1.13
"1313",1.18
"1314",1.11
"1315",1.13
"1316",1.09
"1317",1.08
"1318",1.18
"1319",1.12
"1320",1.14
"1321",1.15
"1322",1.14
"1323",1.15
"1324",1.14
"1325",1.13
"1326",1.13
"1327",1.14
"1328",1.13
"1329",1.09
"1330",1.14
"1331",1.14
"1332",1.14
"1333",1.18
"1334",1.17
"1335",1.07
"1336",1.2
"1337",1.18
"1338",1.13
"1339",1.19
"1340",1.18
"1341",1.11
"1342",1.19
"1343",1.21
"1344",1.14
"1345",1.1
"1346",1.17
"1347",1.06
"1348",0.99
"1349",1.15
"1350",1.19
"1351",1.17
"1352",1.1
"1353",0.96
"1354",0.99
"1355",0.91
"1356",1
"1357",0.95
"1358",0.96
"1359",1.04
"1360",1.03
"1361",0.94
"1362",0.91
"1363",0.91
"1364",0.96
"1365",0.96
"1366",1.04
"1367",0.95
"1368",1.05
"1369",0.97
"1370",1.09
"1371",0.97
"1372",0.96
"1373",0.98
"1374",1.08
"1375",1.07
"1376",0.98
"1377",1.09
"1378",0.97
"1379",1.06
"1380",0.96
"1381",1.03
"1382",0.96
"1383",1.04
"1384",0.98
"1385",1.07
"1386",1.07
"1387",0.98
"1388",1.08
"1389",1.11
"1390",1
"1391",1.06
"1392",1.07
"1393",1.01
"1394",1.08
"1395",1.08
"1396",0.99
"1397",1.05
"1398",1.03
"1399",0.94
"1400",0.94
"1401",1.07
"1402",1.08
"1403",1.07
"1404",1
"1405",0.91
"1406",0.92
"1407",0.86
"1408",0.94
"1409",0.9
"1410",0.94
"1411",0.98
"1412",0.96
"1413",0.97
"1414",1.01
"1415",1.02
"1416",1
"1417",1
"1418",1.06
"1419",1
"1420",1.02
"1421",0.99
"1422",1.03
"1423",1.04
"1424",1.04
"1425",1
"1426",1.04
"1427",1.03
"1428",0.98
"1429",1.05
"1430",1.01
"1431",1.03
"1432",0.93
"1433",1.02
"1434",0.99
"1435",1.04
"1436",1.03
"1437",0.96
"1438",1.05
"1439",0.93
"1440",0.96
"1441",0.93
"1442",0.97
"1443",0.99
"1444",0.97
"1445",0.9
"1446",1.09
"1447",1.06
"1448",1.08
"1449",0.92
"1450",1.02
"1451",0.93
"1452",0.81
"1453",0.94
"1454",1.03
"1455",0.97
"1456",0.94
"1457",1.17
"1458",1.23
"1459",1.12
"1460",1.2
"1461",1.16
"1462",1.14
"1463",1.04
"1464",1.13
"1465",1.06
"1466",1.23
"1467",0.97
"1468",1.28
"1469",1.26
"1470",1.16
"1471",1.18
"1472",1.16
"1473",1.22
"1474",1.22
"1475",1.1
"1476",1.14
"1477",1.1
"1478",1.14
"1479",1.28
"1480",1.37
"1481",1.27
"1482",1.18
"1483",1.36
"1484",1.28
"1485",1.32
"1486",1.32
"1487",1.43
"1488",1.37
"1489",1.43
"1490",1.22
"1491",1.32
"1492",1.44
"1493",1.42
"1494",1.43
"1495",1.41
"1496",1.36
"1497",1.33
"1498",1.45
"1499",1.36
"1500",1.18
"1501",1.33
"1502",1.36
"1503",1.11
"1504",1.36
"1505",1.36
"1506",1.37
"1507",1.34
"1508",1.09
"1509",1.2
"1510",1.2
"1511",1.09
"1512",1.14
"1513",1.22
"1514",1.16
"1515",1.09
"1516",1.1
"1517",1.09
"1518",1.15
"1519",0.99
"1520",1.23
"1521",1.21
"1522",1.13
"1523",1.21
"1524",1.14
"1525",1.18
"1526",1.2
"1527",1.13
"1528",1.17
"1529",1.1
"1530",1.19
"1531",1.28
"1532",1.27
"1533",1.2
"1534",1.24
"1535",1.3
"1536",1.27
"1537",1.2
"1538",1.27
"1539",1.34
"1540",1.26
"1541",1.33
"1542",1.21
"1543",1.24
"1544",1.36
"1545",1.31
"1546",1.33
"1547",1.34
"1548",1.26
"1549",1.22
"1550",1.34
"1551",1.27
"1552",1.15
"1553",1.29
"1554",1.29
"1555",1.09
"1556",1.23
"1557",1.27
"1558",1.32
"1559",1.28
"1560",1.09
"1561",1.21
"1562",1.17
"1563",0.95
"1564",1.11
"1565",1.25
"1566",1.08
"1567",1.07
"1568",0.96
"1569",1.07
"1570",1.08
"1571",1
"1572",1.19
"1573",1.12
"1574",0.98
"1575",1.17
"1576",1.09
"1577",1.01
"1578",1.13
"1579",1.18
"1580",1.23
"1581",1.03
"1582",1.25
"1583",1.25
"1584",1.03
"1585",1.1
"1586",1.15
"1587",1.14
"1588",1.18
"1589",1.04
"1590",1.17
"1591",1.2
"1592",1.04
"1593",1.15
"1594",1.05
"1595",1.16
"1596",1.24
"1597",1.13
"1598",1.16
"1599",1.19
"1600",1.07
"1601",1.19
"1602",1.15
"1603",1.09
"1604",1.05
"1605",1.13
"1606",1.11
"1607",1.03
"1608",1.06
"1609",1.06
"1610",1.12
"1611",1.06
"1612",1.05
"1613",0.99
"1614",1.21
"1615",0.96
"1616",1.2
"1617",0.96
"1618",0.98
"1619",1.24
"1620",1.24
"1621",0.97
"1622",1.25
"1623",1.24
"1624",1
"1625",1
"1626",1.28
"1627",0.99
"1628",1.23
"1629",0.99
"1630",1.25
"1631",1.21
"1632",1.23
"1633",0.99
"1634",1.24
"1635",1.22
"1636",0.98
"1637",1.22
"1638",0.97
"1639",1.15
"1640",0.96
"1641",1.22
"1642",0.98
"1643",1.26
"1644",1
"1645",1.23
"1646",1.23
"1647",0.98
"1648",1.23
"1649",1.23
"1650",0.99
"1651",1.1
"1652",1.25
"1653",0.98
"1654",1.27
"1655",1.27
"1656",1
"1657",1.18
"1658",1.26
"1659",1.23
"1660",0.95
"1661",1.28
"1662",1.33
"1663",1.29
"1664",1
"1665",1.25
"1666",1.33
"1667",1.18
"1668",1.18
"1669",1.23
"1670",1.23
"1671",1.17
"1672",1.27
"1673",1.13
"1674",1.19
"1675",1.06
"1676",1.26
"1677",1.28
"1678",1.25
"1679",1.25
"1680",1.19
"1681",1.25
"1682",1.26
"1683",1.09
"1684",1.2
"1685",1.19
"1686",1.21
"1687",1.36
"1688",1.39
"1689",1.38
"1690",1.25
"1691",1.38
"1692",1.33
"1693",1.32
"1694",1.35
"1695",1.43
"1696",1.4
"1697",1.44
"1698",1.32
"1699",1.22
"1700",1.46
"1701",1.43
"1702",1.44
"1703",1.43
"1704",1.39
"1705",1.18
"1706",1.44
"1707",1.4
"1708",1.24
"1709",1.36
"1710",1.34
"1711",1.09
"1712",1.14
"1713",1.36
"1714",1.4
"1715",1.38
"1716",1.1
"1717",0.49
"1718",0.53
"1719",0.66
"1720",0.56
"1721",0.75
"1722",0.77
"1723",0.62
"1724",0.6
"1725",0.71
"1726",0.83
"1727",0.65
"1728",0.89
"1729",0.89
"1730",0.91
"1731",0.71
"1732",0.71
"1733",0.58
"1734",0.74
"1735",0.78
"1736",0.66
"1737",0.79
"1738",0.78
"1739",0.77
"1740",0.76
"1741",0.7
"1742",0.56
"1743",0.7
"1744",0.54
"1745",0.53
"1746",0.52
"1747",0.56
"1748",0.58
"1749",0.67
"1750",0.67
"1751",0.6
"1752",0.53
"1753",0.51
"1754",0.66
"1755",0.57
"1756",0.57
"1757",0.71
"1758",0.6
"1759",0.72
"1760",0.7
"1761",0.63
"1762",0.6
"1763",0.64
"1764",0.56
"1765",0.61
"1766",0.67
"1767",0.61
"1768",0.65
"1769",1.25
"1770",1.22
"1771",1.19
"1772",1.21
"1773",1.26
"1774",1.3
"1775",1.24
"1776",0.93
"1777",1.16
"1778",1.22
"1779",1.23
"1780",0.96
"1781",0.99
"1782",1.11
"1783",1.19
"1784",1.16
"1785",1.12
"1786",1.37
"1787",1.2
"1788",1.23
"1789",0.96
"1790",1.43
"1791",1.43
"1792",1.44
"1793",1.48
"1794",1.23
"1795",1.2
"1796",1.34
"1797",1.3
"1798",1.33
"1799",1.32
"1800",1.01
"1801",1.41
"1802",1.46
"1803",0.98
"1804",1.44
"1805",1.49
"1806",1.5
"1807",1.29
"1808",1.25
"1809",1.23
"1810",1.23
"1811",0.95
"1812",1.25
"1813",1.26
"1814",1.43
"1815",1.38
"1816",1.25
"1817",1.32
"1818",1.47
"1819",1.54
"1820",1.52
"1821",1.1
"1822",1.13
"1823",1.02
"1824",1.08
"1825",1.11
"1826",1.1
"1827",1.09
"1828",1.12
"1829",1.12
"1830",1.11
"1831",1.12
"1832",1.05
"1833",1.14
"1834",0.99
"1835",1.16
"1836",1.13
"1837",1.12
"1838",1.13
"1839",1.06
"1840",1.08
"1841",1.14
"1842",1.13
"1843",1.04
"1844",1.09
"1845",1.07
"1846",1.06
"1847",1.08
"1848",1.08
"1849",1.06
"1850",1.04
"1851",1.09
"1852",1.03
"1853",1.06
"1854",1.03
"1855",1.01
"1856",1.13
"1857",1.12
"1858",0.97
"1859",1.13
"1860",1.08
"1861",1.09
"1862",1.1
"1863",1.11
"1864",1.09
"1865",1.08
"1866",1.05
"1867",0.98
"1868",0.92
"1869",1.08
"1870",1.02
"1871",1.09
"1872",1.01
"1873",1.01
"1874",0.98
"1875",0.93
"1876",0.73
"1877",1.04
"1878",1.03
"1879",0.9
"1880",1.04
"1881",1.06
"1882",0.91
"1883",1.05
